-------------------------------------------------------------------
You may only use the Microsoft .NET Core Debugger (vsdbg) with
Visual Studio Code, Visual Studio or Visual Studio for Mac software
to help you develop and test your applications.
-------------------------------------------------------------------
 > Map contains 814 nodes and a navigation instruction sequence of 271 steps, starting with LLRLRRRLLR.
 -            0 steps so far, currents: MLA, BQA, MJA, AAA, TGA, BJA; next step: LEFT
 -           52 steps so far, currents: TRD, KRK, RMK, LRM, QML, SHK; next step: LEFT
 -           53 steps so far, currents: RGM, PDV, LBR, JSS, XHF, XQD; next step: RIGHT
 -           54 steps so far, currents: QFX, NSR, PCK, JJG, TJF, MJC; next step: LEFT
 -           55 steps so far, currents: FMR, CRJ, BNB, TQM, HHJ, JKC; next step: RIGHT
 -           56 steps so far, currents: BBT, BFG, BKT, QNN, LBF, TNR; next step: LEFT
 -           57 steps so far, currents: HRP, BGC, TPG, KVK, GXV, GHQ; next step: RIGHT
 -           58 steps so far, currents: HJM, SXB, RPP, FQN, GFG, DXP; next step: LEFT
 -           59 steps so far, currents: RDL, PPH, TLP, LRB, BBL, DGV; next step: RIGHT
 -           60 steps so far, currents: VMT, JLP, LGL, HNB, HPV, QDS; next step: RIGHT
 -           61 steps so far, currents: SXN, HPD, RTR, PTJ, NQP, NKS; next step: RIGHT
 -           62 steps so far, currents: MNF, LND, XNP, SHQ, JBQ, GDS; next step: LEFT
 -           63 steps so far, currents: JNQ, SLB, LCR, SGT, GJL, CQC; next step: RIGHT
 -           64 steps so far, currents: PDK, TGC, NSG, HPM, KQH, NNR; next step: RIGHT
 -           65 steps so far, currents: GVH, DNS, LTH, MCR, XXX, MSL; next step: LEFT
 -           66 steps so far, currents: DFG, RXN, DSM, QTV, PXV, MCS; next step: RIGHT
 -           67 steps so far, currents: SFH, RCH, MDH, FMV, PNT, JNB; next step: LEFT
 -           68 steps so far, currents: LHH, VHX, TLS, HTN, QSR, PQM; next step: LEFT
 -           69 steps so far, currents: GCV, DKV, HXD, XGK, CLX, MPR; next step: LEFT
 -           70 steps so far, currents: FHG, NSM, MHR, BVJ, XTB, DNG; next step: RIGHT
 -           71 steps so far, currents: SJH, TVH, SCC, CBM, VBD, JXP; next step: RIGHT
 -           72 steps so far, currents: GCN, GFS, SHM, PSG, SHD, QCC; next step: LEFT
 -           73 steps so far, currents: DGR, GFN, KVM, GSG, KGS, TPB; next step: RIGHT
 -           74 steps so far, currents: GSF, HXB, KRP, VDV, VBN, FDK; next step: RIGHT
 -           75 steps so far, currents: FQP, FLG, RHV, VQS, BLB, CLV; next step: RIGHT
 -           76 steps so far, currents: HHF, GKH, HSX, NLR, QXF, MBT; next step: LEFT
 -           77 steps so far, currents: CJD, TXH, RMV, CJK, LMM, HSV; next step: LEFT
 -           78 steps so far, currents: TMR, KBC, LPK, VKH, CDJ, HJK; next step: LEFT
 -           79 steps so far, currents: VDC, RKX, LMK, MNV, PMB, BQG; next step: RIGHT
 -           80 steps so far, currents: JGV, DNQ, HGM, BKG, SCV, HHG; next step: LEFT
 -           81 steps so far, currents: TDH, CQK, VMG, GSC, BVN, DRK; next step: RIGHT
 -           82 steps so far, currents: CNS, DMG, XPL, QMK, TBQ, JBP; next step: RIGHT
 -           83 steps so far, currents: XLJ, PPC, CKR, GCP, PSF, LBQ; next step: RIGHT
 -           84 steps so far, currents: HKR, MRF, QXQ, PKP, XCL, MVC; next step: LEFT
 -           85 steps so far, currents: DJK, BVK, LXR, GGG, XDR, MNP; next step: RIGHT
 -           86 steps so far, currents: BPP, HXT, JFR, QTJ, FML, JFJ; next step: RIGHT
 -           87 steps so far, currents: FKM, BXD, BGK, BVV, CSR, RRD; next step: RIGHT
 -           88 steps so far, currents: NTN, RXS, LNS, QQJ, RJF, KSS; next step: LEFT
 -           89 steps so far, currents: TBJ, DQX, QJN, SCJ, JJM, DPP; next step: LEFT
 -           90 steps so far, currents: GXM, MKJ, DMT, RFC, JXT, CGM; next step: RIGHT
 -           91 steps so far, currents: MBD, VGR, QFB, GHB, VQK, BVH; next step: RIGHT
 -           92 steps so far, currents: KBM, DLN, JCX, FVN, GBH, KHF; next step: LEFT
 -           93 steps so far, currents: XLR, XGN, BKF, QCX, CXN, DJX; next step: RIGHT
 -           94 steps so far, currents: XSG, PRR, PBS, DMB, DBL, RFN; next step: RIGHT
 -           95 steps so far, currents: SVL, QKQ, PPM, KMG, NHS, NFD; next step: RIGHT
 -           96 steps so far, currents: DVG, MMT, DKB, FRJ, DML, XJL; next step: LEFT
 -           97 steps so far, currents: JCR, GDD, NPF, JDP, FBB, LLC; next step: RIGHT
 -           98 steps so far, currents: MQG, VSN, TTN, HRJ, QBN, LSD; next step: LEFT
 -           99 steps so far, currents: BDQ, VXL, NBP, VJQ, KJC, NJM; next step: RIGHT
 -          100 steps so far, currents: HQL, DFL, TMG, QDF, TXN, LSL; next step: RIGHT
 > Navigating from AAA to ZZZ actually requires 0 steps, as a ghost.
The program '[5472] 08.dll' has exited with code 0 (0x0).
